iter	Passed	Remaining
400	22301	88929
401	22325	88748
402	22405	88786
403	22483	88820
404	22510	88651
405	22590	88693
406	22618	88530
407	22695	88558
408	22724	88396
409	22797	88408
410	22826	88250
411	22904	88283
412	22986	88326
413	23012	88159
414	23088	88180
415	23115	88015
416	23193	88045
417	23220	87880
418	23295	87898
419	23319	87726
420	23395	87747
421	23422	87584
422	23500	87611
423	23527	87449
424	23603	87470
425	23682	87503
426	23709	87341
427	23786	87364
428	23813	87203
429	23891	87230
430	23916	87066
431	23996	87100
432	24023	86940
433	24099	86956
434	24179	86990
435	24212	86853
436	24291	86883
437	24323	86741
438	24399	86760
439	24482	86802
440	24513	86659
441	24591	86682
442	24620	86532
443	24700	86563
444	24780	86592
445	24813	86456
446	24886	86464
447	24912	86304
448	24990	86326
449	25072	86362
450	25102	86215
451	25180	86236
452	25208	86088
453	25288	86113
454	25315	85962
455	25394	85984
456	25473	86009
457	25504	85868
458	25583	85891
459	25612	85747
460	25691	85767
461	25773	85800
462	25804	85661
463	25882	85679
464	25910	85531
465	25988	85550
466	26068	85572
467	26097	85431
468	26177	85453
469	26204	85304
470	26284	85328
471	26363	85347
472	26391	85199
473	26400	84993
474	26477	85007
475	26503	84856
476	26580	84869
477	26607	84720
478	26687	84743
479	26762	84748
480	26793	84614
481	26874	84638
482	26904	84501
483	26981	84512
484	27007	84363
485	27085	84378
486	27161	84383
487	27185	84231
488	27264	84245
489	27291	84102
490	27367	84107
491	27396	83972
492	27478	83997
493	27506	83855
494	27582	83863
495	27658	83866
496	27690	83739
497	27770	83757
498	27798	83616
499	27875	83625
500	27900	83479
501	27977	83487
502	28053	83492
503	28082	83357
504	28163	83374
505	28189	83231
506	28264	83233
507	28290	83090
508	28369	83101
509	28396	82963
510	28477	82980
511	28504	82842
512	28579	82842
513	28656	82848
514	28686	82717
515	28767	82734
516	28793	82591
517	28868	82592
518	28896	82456
519	28971	82457
520	29048	82463
521	29077	82330
522	29158	82345
523	29188	82218
524	29264	82219
525	29292	82085
526	29371	82095
527	29396	81954
528	29475	81962
529	29549	81957
530	29575	81820
531	29598	81673
532	29625	81539
533	29702	81541
534	29730	81410
535	29809	81420
536	29836	81287
537	29917	81300
538	29944	81167
539	30021	81168
540	30049	81038
541	30078	80913
542	30157	80918
543	30183	80785
544	30258	80782
545	30288	80657
546	30365	80659
547	30393	80532
548	30471	80535
549	30552	80547
550	30579	80417
551	30658	80422
552	30686	80296
553	30761	80291
554	30790	80167
555	30867	80166
556	30894	80037
557	30969	80031
558	30995	79901
559	31073	79903
560	31153	79911
561	31180	79781
562	31255	79777
563	31281	79646
564	31359	79648
565	31383	79513
566	31457	79502
567	31481	79368
568	31558	79366
569	31582	79233
570	31660	79235
571	31683	79097
572	31758	79090
573	31783	78961
574	31859	78954
575	31882	78819
576	31956	78812
577	31983	78685
578	32062	78687
579	32140	78687
580	32167	78564
581	32246	78565
582	32273	78441
583	32353	78446
584	32379	78319
585	32453	78310
586	32480	78185
587	32558	78183
588	32581	78052
589	32657	78044
590	32681	77916
591	32757	77908
592	32783	77785
593	32861	77783
594	32936	77774
595	32969	77665
596	33044	77657
597	33075	77543
598	33150	77536
599	33178	77416
600	33256	77413
601	33280	77286
602	33358	77282
603	33438	77284
604	33463	77159
605	33542	77158
606	33568	77037
607	33645	77030
608	33673	76913
609	33747	76900
610	33773	76777
611	33852	76777
612	33881	76662
613	33957	76653
614	34033	76644
615	34062	76531
616	34140	76524
617	34168	76408
618	34245	76402
619	34274	76289
620	34351	76280
621	34377	76161
622	34454	76152
623	34533	76150
624	34559	76030
625	34633	76016
626	34657	75892
627	34736	75890
628	34763	75772
629	34838	75760
630	34862	75636
631	34940	75630
632	34966	75511
633	35043	75502
634	35072	75391
635	35151	75387
636	35224	75369
637	35250	75252
638	35326	75241
639	35350	75120
640	35425	75105
641	35450	74986
642	35527	74977
643	35554	74863
644	35633	74858
645	35662	74748
646	35739	74737
647	35763	74618
648	35838	74603
649	35864	74488
650	35939	74473
651	35965	74359
652	36039	74341
653	36067	74229
654	36144	74220
655	36219	74204
656	36245	74091
657	36325	74087
658	36354	73977
659	36433	73971
660	36460	73857
661	36538	73848
662	36563	73733
663	36643	73728
664	36668	73611
665	36743	73597
666	36822	73589
667	36850	73479
668	36919	73451
669	36953	73354
670	37031	73344
671	37056	73231
672	37131	73214
673	37160	73108
674	37243	73107
675	37325	73104
676	37354	72998
677	37435	72993
678	37459	72877
679	37537	72867
680	37617	72859
681	37645	72751
682	37722	72738
683	37751	72632
684	37826	72616
685	37852	72504
686	37926	72485
687	37952	72373
688	38029	72361
689	38055	72249
690	38130	72233
691	38155	72121
692	38233	72108
693	38312	72099
694	38338	71987
695	38415	71972
696	38442	71865
697	38517	71848
698	38546	71744
699	38623	71729
700	38650	71621
701	38726	71605
702	38754	71499
703	38829	71482
704	38908	71469
705	38934	71361
706	39010	71345
707	39040	71243
708	39118	71230
709	39144	71121
710	39219	71102
711	39243	70990
712	39318	70971
713	39344	70864
714	39420	70847
715	39447	70740
716	39524	70724
717	39552	70620
718	39627	70602
719	39707	70590
720	39736	70489
721	39810	70467
722	39839	70366
723	39917	70350
724	39944	70246
725	40021	70230
726	40100	70216
727	40130	70118
728	40207	70101
729	40235	69999
730	40313	69983
731	40343	69884
732	40420	69866
733	40447	69763
734	40523	69744
735	40600	69727
736	40627	69623
737	40698	69594
738	40727	69495
739	40799	69469
740	40826	69366
741	40905	69352
742	40933	69251
743	41010	69233
744	41037	69130
745	41110	69105
746	41135	68998
747	41210	68978
748	41236	68873
749	41312	68853
750	41339	68753
751	41415	68731
752	41491	68712
753	41519	68612
754	41599	68597
755	41626	68497
756	41704	68479
757	41729	68375
758	41806	68354
759	41833	68254
760	41907	68230
761	41933	68128
762	42012	68112
763	42038	68009
764	42113	67987
765	42189	67966
766	42216	67865
767	42288	67837
768	42315	67737
769	42388	67710
770	42416	67612
771	42489	67587
772	42515	67486
773	42593	67467
774	42618	67364
775	42694	67342
776	42719	67241
777	42793	67214
778	42819	67115
779	42894	67090
780	42922	66993
781	42997	66969
782	43023	66870
783	43099	66848
784	43127	66750
785	43200	66724
786	43225	66622
787	43298	66596
788	43322	66494
789	43393	66463
790	43418	66363
791	43492	66336
792	43518	66238
793	43594	66215
794	43620	66116
795	43696	66094
796	43723	65996
797	43794	65966
798	43818	65865
799	43891	65837
800	43916	65737
801	43988	65708
802	44018	65616
803	44092	65589
804	44121	65497
805	44195	65470
806	44222	65374
807	44296	65348
808	44323	65253
809	44398	65227
810	44425	65131
811	44503	65110
812	44578	65085
813	44607	64993
814	44683	64968
815	44708	64870
816	44782	64844
817	44807	64746
818	44883	64722
819	44909	64625
820	44984	64599
821	45011	64505
822	45084	64476
823	45110	64380
824	45183	64352
825	45209	64255
826	45282	64228
827	45308	64132
828	45382	64105
829	45412	64014
830	45486	63986
831	45512	63892
832	45585	63863
833	45613	63771
834	45686	63742
835	45715	63652
836	45789	63624
837	45814	63528
838	45890	63502
839	45919	63412
840	45994	63386
841	46077	63370
842	46104	63278
843	46181	63253
844	46208	63160
845	46282	63132
846	46306	63036
847	46383	63010
848	46409	62917
849	46487	62895
850	46512	62800
851	46588	62774
852	46614	62681
853	46688	62652
854	46714	62559
855	46788	62531
856	46813	62436
857	46889	62409
858	46914	62315
859	46991	62290
860	47066	62263
861	47094	62172
862	47170	62147
863	47196	62054
864	47273	62028
865	47301	61939
866	47376	61911
867	47403	61820
868	47477	61791
869	47500	61696
870	47576	61668
871	47602	61576
872	47676	61548
873	47701	61454
874	47777	61428
875	47804	61338
876	47880	61311
877	47905	61218
878	47985	61196
879	48015	61111
880	48042	61020
881	48077	60942
882	48114	60864
883	48141	60776
884	48166	60684
885	48197	60600
886	48225	60512
887	48250	60421
888	48286	60344
889	48313	60256
890	48341	60169
891	48367	60079
892	48392	59989
893	48417	59898
894	48446	59813
895	48475	59728
896	48499	59637
897	48524	59547
898	48549	59458
899	48576	59371
900	48600	59280
901	48626	59192
902	48650	59102
903	48676	59014
904	48700	58924
905	48723	58833
906	48748	58745
907	48774	58658
908	48799	58569
909	48822	58479
910	48846	58390
911	48870	58301
912	48894	58212
913	48921	58128
914	48948	58042
915	48971	57953
916	48997	57867
917	49025	57783
918	49051	57698
919	49077	57612
920	49102	57525
921	49126	57438
922	49149	57349
923	49175	57264
924	49200	57178
925	49224	57092
926	49251	57007
927	49277	56923
928	49303	56839
929	49330	56756
930	49354	56670
931	49377	56582
932	49401	56496
933	49427	56412
934	49451	56327
935	49476	56242
936	49500	56157
937	49525	56072
938	49549	55986
939	49575	55903
940	49600	55820
941	49626	55737
942	49652	55655
943	49678	55572
944	49702	55487
945	49726	55403
946	49751	55320
947	49776	55237
948	49800	55153
949	49825	55070
950	49849	54986
951	49874	54904
952	49899	54821
953	49924	54739
954	49949	54656
955	49973	54573
956	49998	54492
957	50026	54412
958	50048	54328
959	50073	54246
960	50099	54165
961	50122	54081
962	50147	54000
963	50171	53918
964	50199	53840
965	50224	53760
966	50248	53677
967	50273	53597
968	50298	53516
969	50322	53435
970	50346	53353
971	50372	53274
972	50396	53193
973	50422	53114
974	50447	53034
975	50472	52954
976	50497	52875
977	50523	52796
978	50550	52718
979	50578	52643
980	50605	52566
981	50630	52486
982	50655	52408
983	50683	52331
984	50710	52254
985	50739	52180
986	50766	52104
987	50792	52026
988	50818	51948
989	50845	51872
990	50869	51793
991	50893	51714
992	50917	51635
993	50942	51557
994	50967	51479
995	50993	51403
996	51016	51323
997	51039	51244
998	51064	51166
999	51088	51088
1000	51112	51010
1001	51136	50932
1002	51164	50858
1003	51192	50784
1004	51219	50709
1005	51242	50631
1006	51268	50555
1007	51292	50478
1008	51318	50402
1009	51342	50325
1010	51366	50249
1011	51390	50172
1012	51416	50096
1013	51439	50019
1014	51463	49942
1015	51488	49866
1016	51512	49790
1017	51537	49714
1018	51565	49642
1019	51590	49566
1020	51615	49492
1021	51639	49416
1022	51663	49340
1023	51687	49264
1024	51713	49191
1025	51741	49119
1026	51765	49043
1027	51789	48968
1028	51813	48893
1029	51840	48821
1030	51866	48747
1031	51891	48673
1032	51915	48598
1033	51940	48524
1034	51965	48450
1035	51991	48378
1036	52019	48307
1037	52045	48234
1038	52070	48161
1039	52094	48087
1040	52118	48013
1041	52142	47938
1042	52166	47865
1043	52191	47792
1044	52215	47718
1045	52241	47647
1046	52267	47574
1047	52292	47502
1048	52317	47429
1049	52343	47358
1050	52369	47287
1051	52394	47215
1052	52420	47143
1053	52445	47071
1054	52472	47001
1055	52500	46931
1056	52524	46859
1057	52550	46789
1058	52576	46718
1059	52600	46645
1060	52625	46574
1061	52651	46504
1062	52676	46432
1063	52703	46363
1064	52728	46292
1065	52752	46219
1066	52775	46147
1067	52801	46077
1068	52827	46007
1069	52852	45937
1070	52879	45868
1071	52902	45796
1072	52926	45724
1073	52949	45652
1074	52975	45583
1075	53003	45516
1076	53029	45446
1077	53057	45379
1078	53084	45310
1079	53109	45241
1080	53134	45171
1081	53161	45103
1082	53189	45036
1083	53216	44968
1084	53241	44899
1085	53268	44832
1086	53293	44762
1087	53318	44693
1088	53342	44623
1089	53368	44555
1090	53393	44486
1091	53420	44419
1092	53448	44352
1093	53473	44284
1094	53498	44215
1095	53521	44145
1096	53546	44076
1097	53572	44009
1098	53599	43942
1099	53623	43873
1100	53647	43805
1101	53673	43737
1102	53697	43668
1103	53726	43603
1104	53752	43536
1105	53777	43469
1106	53803	43402
1107	53830	43336
1108	53856	43269
1109	53880	43201
1110	53906	43134
1111	53931	43067
1112	53959	43002
1113	53991	42941
1114	54019	42876
1115	54050	42813
1116	54076	42748
1117	54102	42682
1118	54130	42617
1119	54157	42552
1120	54186	42488
1121	54213	42423
1122	54238	42357
1123	54264	42291
1124	54295	42229
1125	54319	42162
1126	54348	42099
1127	54373	42033
1128	54401	41969
1129	54428	41905
1130	54456	41841
1131	54478	41773
1132	54505	41708
1133	54529	41642
1134	54553	41576
1135	54576	41509
1136	54603	41445
1137	54626	41378
1138	54651	41312
1139	54672	41244
1140	54695	41177
1141	54718	41110
1142	54745	41047
1143	54769	40981
1144	54794	40916
1145	54818	40851
1146	54844	40786
1147	54869	40721
1148	54895	40657
1149	54920	40593
1150	54945	40528
1151	54969	40463
1152	54997	40401
1153	55023	40337
1154	55054	40277
1155	55079	40213
1156	55103	40149
1157	55130	40086
1158	55157	40024
1159	55185	39961
1160	55207	39895
1161	55233	39832
1162	55260	39770
1163	55287	39707
1164	55316	39647
1165	55341	39583
1166	55366	39520
1167	55392	39457
1168	55418	39394
1169	55444	39332
1170	55467	39267
1171	55491	39204
1172	55515	39139
1173	55539	39076
1174	55563	39012
1175	55589	38950
1176	55613	38886
1177	55638	38824
1178	55663	38761
1179	55689	38699
1180	55714	38637
1181	55739	38574
1182	55763	38511
1183	55788	38448
1184	55814	38386
1185	55841	38326
1186	55866	38263
1187	55891	38201
1188	55916	38139
1189	55943	38079
1190	55968	38017
1191	55994	37956
1192	56018	37893
1193	56045	37833
1194	56071	37772
1195	56097	37711
1196	56122	37649
1197	56151	37590
1198	56178	37530
1199	56201	37467
1200	56227	37406
1201	56254	37346
1202	56281	37286
1203	56307	37226
1204	56332	37165
1205	56359	37105
1206	56388	37047
1207	56413	36986
1208	56437	36925
1209	56465	36865
1210	56490	36805
1211	56516	36744
1212	56540	36683
1213	56566	36623
1214	56591	36563
1215	56619	36504
1216	56646	36445
1217	56672	36385
1218	56699	36326
1219	56726	36267
1220	56752	36208
1221	56777	36147
1222	56804	36089
1223	56830	36029
1224	56858	35971
1225	56885	35912
1226	56910	35853
1227	56937	35794
1228	56962	35735
1229	56988	35675
1230	57013	35616
1231	57040	35557
1232	57065	35497
1233	57090	35438
1234	57118	35380
1235	57143	35321
1236	57169	35262
1237	57194	35203
1238	57218	35143
1239	57242	35083
1240	57267	35025
1241	57293	34966
1242	57316	34906
1243	57339	34846
1244	57365	34787
1245	57387	34727
1246	57414	34669
1247	57440	34611
1248	57464	34552
1249	57487	34492
1250	57512	34433
1251	57535	34374
1252	57560	34315
1253	57586	34257
1254	57610	34199
1255	57634	34140
1256	57658	34081
1257	57682	34022
1258	57706	33963
1259	57732	33906
1260	57756	33847
1261	57782	33790
1262	57807	33732
1263	57832	33674
1264	57856	33616
1265	57880	33557
1266	57904	33499
1267	57928	33441
1268	57953	33384
1269	57978	33326
1270	58005	33269
1271	58030	33212
1272	58054	33154
1273	58080	33097
1274	58106	33041
1275	58132	32984
1276	58159	32928
1277	58184	32871
1278	58210	32814
1279	58234	32757
1280	58260	32700
1281	58289	32645
1282	58314	32588
1283	58340	32532
1284	58366	32476
1285	58392	32420
1286	58417	32363
1287	58444	32307
1288	58469	32251
1289	58495	32195
1290	58518	32137
1291	58542	32080
1292	58567	32024
1293	58592	31967
1294	58619	31912
1295	58645	31857
1296	58673	31802
1297	58701	31747
1298	58727	31691
1299	58751	31635
1300	58778	31580
1301	58803	31524
1302	58829	31469
1303	58854	31413
1304	58881	31358
1305	58910	31304
1306	58940	31251
1307	58969	31198
1308	58995	31142
1309	59021	31087
1310	59044	31031
1311	59071	30976
1312	59097	30921
1313	59127	30868
1314	59151	30812
1315	59177	30757
1316	59203	30703
1317	59232	30649
1318	59258	30595
1319	59283	30540
1320	59311	30486
1321	59338	30432
1322	59363	30377
1323	59388	30322
1324	59414	30267
1325	59438	30212
1326	59462	30157
1327	59489	30103
1328	59513	30047
1329	59539	29993
1330	59563	29938
1331	59590	29884
1332	59613	29829
1333	59640	29775
1334	59667	29721
1335	59690	29666
1336	59717	29613
1337	59743	29559
1338	59769	29505
1339	59795	29451
1340	59821	29397
1341	59847	29343
1342	59872	29289
1343	59897	29235
1344	59925	29183
1345	59951	29129
1346	59975	29075
1347	60001	29021
1348	60025	28967
1349	60049	28912
1350	60077	28860
1351	60104	28807
1352	60129	28753
1353	60159	28702
1354	60185	28649
1355	60214	28597
1356	60242	28545
1357	60267	28491
1358	60295	28439
1359	60322	28387
1360	60351	28335
1361	60376	28281
1362	60402	28229
1363	60430	28177
1364	60459	28126
1365	60486	28073
1366	60511	28020
1367	60538	27968
1368	60564	27915
1369	60591	27863
1370	60619	27811
1371	60647	27760
1372	60672	27707
1373	60698	27654
1374	60727	27603
1375	60753	27551
1376	60779	27498
1377	60804	27445
1378	60828	27392
1379	60854	27340
1380	60880	27288
1381	60909	27237
1382	60936	27185
1383	60963	27133
1384	60988	27081
1385	61011	27028
1386	61035	26975
1387	61062	26924
1388	61088	26872
1389	61115	26820
1390	61139	26767
1391	61163	26714
1392	61187	26662
1393	61214	26611
1394	61241	26560
1395	61267	26508
1396	61293	26456
1397	61319	26405
1398	61345	26353
1399	61372	26302
1400	61397	26250
1401	61425	26200
1402	61453	26149
1403	61478	26097
1404	61503	26046
1405	61530	25994
1406	61556	25943
1407	61580	25892
1408	61606	25840
1409	61631	25789
1410	61656	25737
1411	61682	25686
1412	61709	25635
1413	61736	25585
1414	61763	25534
1415	61791	25484
1416	61817	25433
1417	61843	25383
1418	61871	25332
1419	61896	25281
1420	61923	25231
1421	61951	25181
1422	61977	25130
1423	62005	25080
1424	62031	25030
1425	62055	24978
1426	62081	24928
1427	62109	24878
1428	62137	24828
1429	62162	24778
1430	62188	24727
1431	62213	24677
1432	62239	24626
1433	62265	24576
1434	62291	24525
1435	62318	24475
1436	62343	24425
1437	62367	24374
1438	62394	24324
1439	62419	24274
1440	62447	24224
1441	62473	24174
1442	62501	24125
1443	62527	24075
1444	62558	24027
1445	62584	23977
1446	62610	23927
1447	62634	23877
1448	62660	23827
1449	62685	23777
1450	62710	23727
1451	62738	23678
1452	62764	23628
1453	62792	23579
1454	62818	23529
1455	62845	23480
1456	62869	23430
1457	62897	23381
1458	62924	23332
1459	62948	23282
1460	62972	23232
1461	62999	23183
1462	63024	23133
1463	63052	23084
1464	63078	23035
1465	63104	22986
1466	63132	22937
1467	63159	22888
1468	63184	22839
1469	63210	22790
1470	63237	22741
1471	63263	22692
1472	63289	22643
1473	63314	22594
1474	63340	22544
1475	63366	22495
1476	63389	22445
1477	63413	22396
1478	63439	22347
1479	63465	22298
1480	63491	22249
1481	63515	22200
1482	63541	22151
1483	63568	22103
1484	63595	22055
1485	63623	22007
1486	63647	21957
1487	63670	21908
1488	63694	21859
1489	63718	21809
1490	63741	21760
1491	63766	21711
1492	63790	21662
1493	63816	21613
1494	63840	21564
1495	63866	21516
1496	63892	21468
1497	63917	21419
1498	63943	21371
1499	63970	21323
1500	63994	21274
1501	64018	21225
1502	64042	21177
1503	64068	21128
1504	64091	21079
1505	64115	21031
1506	64138	20982
1507	64161	20933
1508	64185	20884
1509	64210	20836
1510	64237	20789
1511	64263	20741
1512	64288	20692
1513	64314	20645
1514	64341	20597
1515	64366	20549
1516	64395	20502
1517	64420	20454
1518	64445	20407
1519	64469	20358
1520	64494	20310
1521	64518	20262
1522	64543	20214
1523	64569	20167
1524	64592	20118
1525	64621	20072
1526	64644	20024
1527	64670	19976
1528	64694	19928
1529	64718	19880
1530	64745	19834
1531	64771	19786
1532	64797	19739
1533	64821	19691
1534	64846	19643
1535	64870	19596
1536	64896	19549
1537	64922	19502
1538	64948	19455
1539	64975	19408
1540	65001	19361
1541	65026	19313
1542	65050	19266
1543	65075	19219
1544	65097	19171
1545	65122	19123
1546	65148	19077
1547	65174	19030
1548	65199	18983
1549	65225	18936
1550	65248	18888
1551	65273	18841
1552	65297	18794
1553	65321	18747
1554	65345	18700
1555	65373	18654
1556	65401	18607
1557	65426	18561
1558	65451	18514
1559	65479	18468
1560	65506	18422
1561	65532	18375
1562	65560	18330
1563	65584	18283
1564	65609	18236
1565	65634	18189
1566	65659	18143
1567	65685	18096
1568	65713	18051
1569	65738	18004
1570	65762	17958
1571	65786	17911
1572	65809	17864
1573	65835	17818
1574	65859	17771
1575	65883	17724
1576	65909	17679
1577	65935	17632
1578	65960	17586
1579	65989	17541
1580	66015	17495
1581	66039	17449
1582	66065	17403
1583	66089	17356
1584	66113	17310
1585	66136	17263
1586	66162	17218
1587	66189	17172
1588	66214	17126
1589	66237	17080
1590	66266	17035
1591	66292	16989
1592	66318	16943
1593	66342	16897
1594	66367	16851
1595	66392	16806
1596	66419	16760
1597	66444	16715
1598	66471	16669
1599	66496	16624
1600	66522	16578
1601	66547	16533
1602	66573	16487
1603	66598	16441
1604	66622	16396
1605	66647	16350
1606	66675	16305
1607	66700	16260
1608	66725	16214
1609	66750	16169
1610	66777	16124
1611	66804	16079
1612	66830	16034
1613	66853	15988
1614	66878	15943
1615	66902	15897
1616	66927	15852
1617	66952	15806
1618	66977	15761
1619	67001	15716
1620	67026	15671
1621	67050	15625
1622	67077	15581
1623	67102	15536
1624	67126	15490
1625	67151	15445
1626	67176	15400
1627	67203	15356
1628	67229	15311
1629	67255	15266
1630	67279	15221
1631	67304	15176
1632	67328	15131
1633	67352	15086
1634	67375	15041
1635	67399	14996
1636	67422	14950
1637	67445	14905
1638	67469	14860
1639	67493	14815
1640	67517	14770
1641	67540	14725
1642	67562	14680
1643	67585	14635
1644	67613	14591
1645	67635	14546
1646	67659	14501
1647	67685	14457
1648	67711	14412
1649	67736	14368
1650	67761	14323
1651	67785	14279
1652	67810	14234
1653	67835	14190
1654	67863	14146
1655	67890	14102
1656	67914	14058
1657	67939	14014
1658	67963	13969
1659	67987	13925
1660	68016	13881
1661	68040	13837
1662	68064	13793
1663	68088	13748
1664	68115	13704
