iter	Logloss
0	0.6772071563
1	0.6611996143
2	0.6465443061
3	0.6331573811
4	0.6191637649
5	0.6059059449
6	0.5944181509
7	0.5803225317
8	0.5696871081
9	0.5582672426
10	0.5480014122
11	0.53940384
12	0.5306322966
13	0.5238526215
14	0.5164741405
15	0.5071098898
16	0.4995409745
17	0.4924260975
18	0.4855446982
19	0.4779906042
20	0.4720047091
21	0.4666857462
22	0.4614714686
23	0.4563423679
24	0.4509677543
25	0.4468482413
26	0.4423343681
27	0.4374282534
28	0.4327803793
29	0.4286834045
30	0.4245228878
31	0.4202636478
32	0.4164553109
33	0.4133204608
34	0.4092662702
35	0.4063502558
36	0.4039272149
37	0.4010412109
38	0.3980978832
39	0.3953412114
40	0.3928210297
41	0.3898968052
42	0.3872559093
43	0.3845272721
44	0.3812701447
45	0.3786631455
46	0.3773624363
47	0.3756110293
48	0.3734021795
49	0.3706433985
50	0.3676798593
51	0.365508668
52	0.3638038262
53	0.3619516684
54	0.3600638721
55	0.358221708
56	0.3565096774
57	0.3550938147
58	0.3530074368
59	0.3511591385
60	0.3497594598
61	0.3488028846
62	0.3469935852
63	0.3454215454
64	0.3433252556
65	0.3417546901
66	0.3402897593
67	0.3391982825
68	0.3378651097
69	0.3361085794
70	0.3350790654
71	0.3333333403
72	0.3323786227
73	0.3313122219
74	0.330236209
75	0.3290911536
76	0.3279837851
77	0.3268448804
78	0.3261236322
79	0.3250443488
80	0.3240803404
81	0.3230145912
82	0.3221358426
83	0.3214294546
84	0.3207371083
85	0.3197254263
86	0.3188145038
87	0.3179893743
88	0.3171828788
89	0.3163972483
90	0.3154029845
91	0.3142536287
92	0.3129880124
93	0.3124316029
94	0.3115916462
95	0.3107294576
96	0.3100076366
97	0.3094280063
98	0.30845757
99	0.3072373279
100	0.3063693588
101	0.3054935734
102	0.3049085252
103	0.3041722115
104	0.303298082
105	0.3025949442
106	0.3019082679
107	0.3011798626
108	0.3006451111
109	0.3000851196
110	0.2992115559
111	0.2983776731
112	0.297492757
113	0.2968884553
114	0.2963814718
115	0.2957952378
116	0.2950752993
117	0.2946736624
118	0.2940147601
119	0.2933823934
120	0.2929231759
121	0.2919958887
122	0.2915481523
123	0.2911878176
124	0.2907809434
125	0.2903028607
126	0.2892376113
127	0.2887450255
128	0.2881584626
129	0.2875678494
130	0.2867015326
131	0.285822591
132	0.2852851862
133	0.2849286651
134	0.2845086195
135	0.2837690547
136	0.2832104523
137	0.2827216299
138	0.2822090424
139	0.2818664264
140	0.281432762
141	0.2809007183
142	0.2802359417
143	0.2798230207
144	0.279455555
145	0.2787944036
146	0.2782321881
147	0.2779887696
148	0.2777719441
149	0.2774876626
150	0.2768593531
151	0.2764322249
152	0.2756700321
153	0.2749928803
154	0.2741488249
155	0.2736549054
156	0.273028699
157	0.2725271335
158	0.2718121396
159	0.2712938616
160	0.2708734517
161	0.2704466324
162	0.2701101748
163	0.2697356349
164	0.2688227619
165	0.268311416
166	0.2677350318
167	0.2669298605
168	0.2666358959
169	0.2660772225
170	0.2651307273
171	0.2646025026
172	0.2640943248
173	0.2635781649
174	0.2629527239
175	0.262223236
176	0.261910307
177	0.2612249961
178	0.2608695464
179	0.2606106089
180	0.2601195742
181	0.259675261
182	0.2593746273
183	0.2590772321
184	0.2584434196
185	0.2580488999
186	0.2576860094
187	0.2571162738
188	0.2567947062
189	0.256380792
190	0.255945932
191	0.2552860494
192	0.2549473261
193	0.2545300375
194	0.2540494663
195	0.2537036739
196	0.2532643362
197	0.2527086016
198	0.2521735749
199	0.2517820024
200	0.2515109603
201	0.2507936211
202	0.2503609225
203	0.2501001998
204	0.2498318235
205	0.2491994609
206	0.2485915771
207	0.248245883
208	0.2476962787
209	0.2471590094
210	0.2468413298
211	0.246515977
212	0.2462085864
213	0.2459961407
214	0.2455510709
215	0.2451366237
216	0.2447710415
217	0.244373685
218	0.2441235468
219	0.2437786345
220	0.243401103
221	0.2428423995
222	0.242519539
223	0.2422277772
224	0.2418726619
225	0.241385586
226	0.2411088016
227	0.2407970322
228	0.24058581
229	0.2402262531
230	0.2399741004
231	0.2396414101
232	0.239425867
233	0.2392199548
234	0.2389584707
235	0.2386565523
236	0.2383051228
237	0.2379425534
238	0.2376685027
239	0.2373011354
240	0.2365696063
241	0.236179363
242	0.2357724763
243	0.2354241281
244	0.2349910956
245	0.2348875595
246	0.234436321
247	0.2341951286
248	0.2337567211
249	0.2330041613
250	0.232778447
251	0.2324335738
252	0.2321485349
253	0.2316326723
254	0.2314424035
255	0.2310065464
256	0.2305779654
